Instr,op,funct3,funct7,alu_flags,instr_type,pc_src,write_reg,pc_alu_src,imm_src,alu_ctrl,branch_src,data_op_src,write_mem,mem_op,result_src
LB,0000011,000,???????,xxx,000,0,1,0,1,0000,0,x,0,000,1
LH,0000011,001,???????,xxx,000,0,1,0,1,0000,0,x,0,001,1
LW,0000011,010,???????,xxx,000,0,1,0,1,0000,0,x,0,010,1
LBU,0000011,100,???????,xxx,000,0,1,0,1,0000,0,x,0,100,1
LHU,0000011,101,???????,xxx,000,0,1,0,1,0000,0,x,0,101,1
ADDI,0010011,000,???????,xxx,000,0,1,0,1,0000,0,1,0,xxx,0
SLLI,0010011,001,0000000,xxx,000,0,1,0,1,0101,0,1,0,xxx,0
SLTI,0010011,010,???????,xxx,000,0,1,0,1,1001,0,1,0,xxx,0
SLTUI,0010011,011,???????,xxx,000,0,1,0,1,1010,0,1,0,xxx,0
XORI,0010011,100,???????,xxx,000,0,1,0,1,0100,0,1,0,xxx,0
SRLI,0010011,101,0000000,xxx,000,0,1,0,1,0110,0,1,0,xxx,0
SRAI,0010011,101,0100000,xxx,000,0,1,0,1,0111,0,1,0,xxx,0
ORI,0010011,110,???????,xxx,000,0,1,0,1,0011,0,1,0,xxx,0
ANDI,0010011,111,???????,xxx,000,0,1,0,1,0010,0,1,0,xxx,0
AUIPC,0010111,???,???????,xxx,011,0,1,1,1,0000,0,1,0,xxx,0
SB,0100011,000,???????,xxx,001,0,0,0,1,0000,0,x,1,000,x
SH,0100011,001,???????,xxx,001,0,0,0,1,0000,0,x,1,001,x
SW,0100011,010,???????,xxx,001,0,0,0,1,0000,0,x,1,010,x
ADD,0110011,000,0000000,xxx,xxx,0,1,0,0,0000,0,1,0,xxx,0
SUB,0110011,000,0100000,xxx,xxx,0,1,0,0,0001,0,1,0,xxx,0
SLL,0110011,001,0000000,xxx,xxx,0,1,0,0,0101,0,1,0,xxx,0
SLT,0110011,010,0000000,xxx,xxx,0,1,0,0,1001,0,1,0,xxx,0
SLTU,0110011,011,0000000,xxx,xxx,0,1,0,0,1010,0,1,0,xxx,0
XOR,0110011,100,0000000,xxx,xxx,0,1,0,0,0100,0,1,0,xxx,0
SRL,0110011,101,0000000,xxx,xxx,0,1,0,0,0110,0,1,0,xxx,0
SRA,0110011,101,0100000,xxx,xxx,0,1,0,0,0111,0,1,0,xxx,0
OR,0110011,110,0000000,xxx,xxx,0,1,0,0,0011,0,1,0,xxx,0
AND,0110011,111,0000000,xxx,xxx,0,1,0,0,0010,0,1,0,xxx,0
LUI,0110111,???,???????,xxx,011,0,1,0,1,1000,0,1,0,xxx,0
BEQ,1100011,000,???????,1xx,010,1,0,0,1,xxxx,1,x,0,xxx,x
BNE,1100011,001,???????,0xx,010,1,0,0,1,xxxx,1,x,0,xxx,x
BLT,1100011,100,???????,xx1,010,1,0,0,1,xxxx,1,x,0,xxx,x
BGE,1100011,101,???????,xx0,010,1,0,0,1,xxxx,1,x,0,xxx,x
BLTU,1100011,110,???????,x1x,010,1,0,0,1,xxxx,1,x,0,xxx,x
BGEU,1100011,111,???????,x0x,010,1,0,0,1,xxxx,1,x,0,xxx,x
JALR,1100111,000,???????,xxx,000,1,1,0,1,0000,1,0,0,xxx,0
JAL,1101111,???,???????,xxx,100,1,1,0,1,0000,1,0,0,xxx,0
